tBodyGyroJerk-iqr()-X,tBodyGyro-iqr()-X,tBodyAccJerk-max()-X,tBodyGyro-min()-X,"fBodyGyro-bandsEnergy()-9,16",tBodyGyro-max()-X,fBodyGyro-maxInds-Z,tBodyAcc-entropy()-X,tBodyAcc-max()-X,subject,"tBodyGyro-correlation()-Y,Z",tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-max()-Y,tGravityAcc-min()-X,"fBodyAcc-bandsEnergy()-1,8","tBodyAcc-correlation()-X,Y",tGravityAcc-energy()-Y,tGravityAcc-min()-Y
-0.99229974,-0.98343808,-0.9851801,0.84730796,-0.99993178,-0.86704374,-1.0,-0.40774707,-0.93472378,1,0.30109948,0.96339614,-0.14083968,-0.16126549,0.97743631,-0.99996279,0.37631389,-0.97090521,-0.12321341
-0.99074179,-0.99283276,-0.99454467,0.83372106,-0.99979432,-0.86490382,-1.0,-0.71489166,-0.94306751,1,0.16939479999999998,0.96656113,-0.14155127,-0.16134256,0.98452014,-0.99999619,-0.013428663,-0.97058275,-0.11489334
-0.98713045,-0.97235357,-0.98707696,0.83372106,-0.99982823,-0.86490382,-1.0,-0.59223514,-0.93869155,1,-0.35064613,0.9668780999999999,-0.14200984,-0.16371122,0.9867700999999999,-0.99998945,-0.12469839,-0.97036812,-0.11489334
-0.99090865,-0.99103127,-0.98707696,0.83416396,-0.99989067,-0.88532038,-0.79310345,-0.62744626,-0.93869155,1,-0.72530106,0.96761519,-0.14397645,-0.16371122,0.98682105,-0.9999886,-0.30569299,-0.96939971,-0.12133575
-0.99451316,-0.9898132,-0.99699333,0.83909061,-0.99991168,-0.87015408,-1.0,-0.78655253,-0.94246912,1,-0.72455753,0.9682244000000001,-0.14875022,-0.1667862,0.98743352,-0.99999401,-0.15580432,-0.96705115,-0.12183357
-0.99373357,-0.98533726,-0.99410538,0.83980804,-0.99991227,-0.87015408,-0.93103448,-0.75186908,-0.94246912,1,-0.74597924,0.9679482,-0.14820997,-0.16697042,0.98772183,-0.99999034,-0.20997915,-0.9673206,-0.12183357
-0.99028337,-0.98722605,-0.99410538,0.83923216,-0.99988624,-0.88084649,-1.0,-0.63718496,-0.94098663,1,-0.68768073,0.9679295,-0.14428214,-0.16557052,0.98772183,-0.99999107,-0.09585211099999999,-0.96926606,-0.12009236
-0.99117705,-0.98873353,-0.99592693,0.83923216,-0.99990276,-0.87891649,-1.0,-0.63323942,-0.94098663,1,-0.73265004,0.96849148,-0.14670536,-0.16557052,0.98792586,-0.99998527,-0.16163423,-0.96803308,-0.12855866
-0.99314799,-0.98987124,-0.99624001,0.84240348,-0.99993364,-0.87891649,-0.79310345,-0.68311724,-0.94059758,1,-0.44248085,0.96848115,-0.15437401,-0.1678811,0.98775397,-0.99998535,-0.16479067,-0.96412344,-0.12976410000000002
-0.98537015,-0.98613552,-0.98597618,0.83673943,-0.99978905,-0.87157112,-0.79310345,-0.55072132,-0.94002751,1,-0.44692136,0.96841804,-0.15630201,-0.17596367,0.98775397,-0.99998294,-0.17624116,-0.96313738,-0.12976410000000002
-0.98981028,-0.9887617,-0.98597618,0.83673943,-0.9998054,-0.87157112,-0.72413793,-0.62899733,-0.94002751,1,-0.47849769999999997,0.96920266,-0.15236144,-0.17248553,0.98782618,-0.9999788000000001,0.008503661800000001,-0.96520249,-0.12692295
-0.99551477,-0.99431769,-0.99852895,0.84187441,-0.99997518,-0.88564296,-0.5862069000000001,-0.83802192,-0.94390578,1,-0.36969406,0.96925328,-0.15006376,-0.17248553,0.98861347,-0.99999005,-0.26723866,-0.96639363,-0.12340878
-0.99518065,-0.99375478,-0.99923672,0.84358903,-0.9999841,-0.88615917,-1.0,-0.84967219,-0.94390578,1,-0.72780909,0.9689962999999999,-0.1523621,-0.1726059,0.98861347,-0.99999322,-0.035235838,-0.96520364,-0.12646746
-0.99735911,-0.99674239,-0.997499,0.84623834,-0.9999880999999999,-0.88615917,-1.0,-0.88821474,-0.94332286,1,-0.57422528,0.96904398,-0.15414125,-0.17551413,0.98889992,-0.99999893,0.043618841,-0.96428473,-0.12646746
-0.98827605,-0.98468344,-0.99062812,0.82506425,-0.99972857,-0.85984111,-1.0,-0.16320286,-0.92597669,1,-0.99177193,0.94489486,-0.29262334,-0.27775429999999995,0.94674897,-0.99988407,0.82187193,-0.85222007,-0.31953731
-0.99309174,-0.98674318,-0.99700681,0.84535354,-0.99998714,-0.8747857,-1.0,-0.62797094,-0.9417158000000001,1,-0.99166,0.95201342,-0.26311695,-0.27775429999999995,0.96863457,-0.99998522,0.32959319,-0.88412852,-0.24813963
-0.99422771,-0.98682877,-0.99515424,0.84535354,-0.99998275,-0.8748621999999999,-0.93103448,-0.64563295,-0.9417158000000001,1,-0.94804831,0.95272437,-0.26509148,-0.28062914,0.97277627,-0.99998484,0.28049739,-0.88229013,-0.23590783
-0.9952494000000001,-0.98989484,-0.99515424,0.84304451,-0.99996203,-0.8748621999999999,-1.0,-0.64211168,-0.94207598,1,-0.8987999,0.95306401,-0.26471825,-0.28303343,0.97297016,-0.9999940999999999,0.15336261,-0.88264601,-0.23590783
-0.99458493,-0.98966075,-0.9959515,0.84277019,-0.99997108,-0.87883655,-1.0,-0.70181918,-0.94487012,1,-0.50115438,0.95360569,-0.26305774,-0.28300845,0.97325777,-0.9999875,0.19087473,-0.88422429,-0.23427394
-0.99485406,-0.99548589,-0.99574132,0.84277019,-0.99998233,-0.88458597,-1.0,-0.80591961,-0.94566163,1,-0.42432631,0.95359464,-0.26348997,-0.28300845,0.97336429,-0.9999928,0.1109392,-0.88381482,-0.23399273
-0.99686163,-0.99751343,-0.99574132,0.84512415,-0.99999103,-0.88693926,-0.17241379,-0.74225103,-0.94147242,1,-0.020311386,0.95313551,-0.26343690000000003,-0.28187025,0.97318829,-0.99999541,0.067142244,-0.88386424,-0.23399273
-0.99691113,-0.99697969,-0.99618842,0.84421838,-0.99998803,-0.88645059,-0.44827586,-0.74225103,-0.94147242,1,-0.28695692,0.95318325,-0.26189643,-0.28149769,0.97318829,-0.9999918,0.11619943,-0.88531821,-0.23351308
-0.99776686,-0.99903615,-0.99654598,0.84421838,-0.99999143,-0.88489044,-1.0,-0.79605084,-0.94456672,1,-0.66813743,0.95309294,-0.26245862,-0.28149769,0.97269154,-0.9999904000000001,-0.09775865199999999,-0.88478599,-0.23493193
-0.99851692,-0.99901954,-0.99654598,0.84640091,-0.99999258,-0.88485843,-1.0,-0.72891185,-0.94367519,1,-0.59754001,0.95273161,-0.26500697,-0.28236083,0.97263986,-0.99999201,-0.041202468,-0.88237099,-0.23580584
-0.99675976,-0.9958683,-0.99555399,0.84387111,-0.99998305,-0.88396171,-1.0,-0.64067755,-0.94255883,1,-0.61982247,0.9532188,-0.26504320000000003,-0.2815548,0.97263986,-0.99999645,-0.22370213,-0.88233553,-0.23580584
-0.99514451,-0.99356918,-0.99555399,0.84198968,-0.99996937,-0.88396171,-0.93103448,-0.66777064,-0.94255883,1,-0.14512827,0.95419361,-0.26194319,-0.28034554,0.97384493,-0.99999483,0.13194588,-0.88526668,-0.23540523
-0.99522013,-0.9953216,-0.99771185,0.84198968,-0.99996228,-0.88515685,-0.79310345,-0.8268731,-0.94288961,1,-0.12015216,0.95458893,-0.26049928,-0.28034554,0.97436858,-0.99999801,0.14266263,-0.88663004,-0.23064937
-0.99265037,-0.99494456,-0.96486615,0.82493137,-0.99970902,-0.85690913,-1.0,-0.48472227,-0.93189578,1,-0.63115234,0.87409866,0.042479149,0.15158093,0.84957326,-0.99353977,-0.99084317,-0.95460358,-0.19754314
-0.99644147,-0.99325025,-0.99266528,0.83426679,-0.99999483,-0.89336443,-1.0,-0.23878855,-0.93189578,1,-0.92411172,0.83566368,0.16067501,0.15158093,0.84957326,-0.99972524,-0.92931336,-0.93761402,0.12128980000000002
-0.99803963,-0.99474778,-0.99328446,0.83998948,-0.99999399,-0.89029284,-1.0,-0.49617852,-0.9353889999999999,1,-0.98405056,0.83695957,0.15187734,0.14608124,0.85049913,-0.9999363000000001,-0.83824416,-0.94407951,0.16770112
-0.99205852,-0.99232282,-0.88057608,0.56901685,-0.9950357,-0.63032163,-0.93103448,-0.45326871,-0.73715155,1,0.73078584,0.83878762,0.15070183,0.14121255,0.85834757,-0.97956498,-0.026317204,-0.94494809,0.16770112
-0.93067841,-0.9145411,-0.88057608,0.56901685,-0.99645036,-0.63032163,-0.93103448,-0.51460726,-0.73715155,1,0.6206047,0.81080506,0.19559534,0.28506416,0.71629126,-0.96181253,-0.48927158,-0.90699628,0.17443494
